Weighted F1: 0.3014
Average Location Accuracy: 0.2447
Average Location-Category Joint Accuracy: 0.0634

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.5762          0.0000 90        
security                              nan             nan 90        
instruction_adherence              0.0394          0.7126 90        
plan_optimization                  0.3901          0.0001 90        
overall                            0.4222          0.0000 90        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4677     0.6905     0.5577     42        
Tool-related                             0.1111     0.0270     0.0435     37        
Poor Information Retrieval               0.1026     0.1818     0.1311     22        
Tool Output Misinterpretation            0.0870     0.1176     0.1000     17        
Incorrect Problem Identification         0.1429     0.1500     0.1463     20        
Tool Selection Errors                    0.3919     0.7250     0.5088     40        
Formatting Errors                        0.2286     0.1538     0.1839     52        
Instruction Non-compliance               0.5400     0.4909     0.5143     55        
Tool Definition Issues                   0.5000     0.3333     0.4000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1667     0.2500     0.2000     4         
Resource Exhaustion                      1.0000     1.0000     1.0000     2         
Timeout Issues                           0.0000     0.0000     0.0000     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.2632     0.1667     0.2041     30        
Goal Deviation                           0.6613     0.6119     0.6357     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
