field,taxonomy_l1,count
corr_leaf_categories,Reasoning Errors,77
causal_leaf_categories,Reasoning Errors,62
baseline_leaf_categories,Reasoning Errors,60
gold_leaf_categories,Reasoning Errors,50
gold_leaf_categories,Planning and Coordination Errors,27
corr_leaf_categories,Planning and Coordination Errors,21
baseline_leaf_categories,Planning and Coordination Errors,15
causal_leaf_categories,Planning and Coordination Errors,10
corr_leaf_categories,System Execution Errors,4
baseline_leaf_categories,System Execution Errors,4
causal_leaf_categories,System Execution Errors,2
