model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,bucket
GPT-oss-120B,GAIA_dedup,0035f455b3ff2295167a844f04d85d34,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,-0.16666666666666663,0.16666666666666669,-0.16666666666666663,0.0,0.0,not_working
GPT-oss-120B,GAIA_dedup,0242ca2533fac5b8b604a9060b3e15d6,0.4,1.0,0.4,0.6666666666666666,0.0,0.0,0.5454545454545454,1.0,0.4,1.2787878787878788,0.1454545454545455,-0.12121212121212122,1.0,0.4,working
GPT-oss-120B,GAIA_dedup,041b7f9c8c76c2ca1a8e67c6769267c3,0.2857142857142857,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,-0.2857142857142857,0.0,0.0,0.0,neutral
GPT-oss-120B,GAIA_dedup,08be1639c58e086cf0bb8c269039973d,0.8,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,-0.13333333333333341,0.0,0.0,0.0,neutral
GPT-oss-120B,GAIA_dedup,0adc4f3b99d9564d32811e913cc9d248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,working
GPT-oss-120B,GAIA_dedup,0ebe673d64647ec44c370638b82d3c78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,not_working
GPT-oss-120B,GAIA_dedup,1427b326e21963a1228647ad8dff2bf4,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,1.0,1.3333333333333335,-0.5,1.0,0.5,working
GPT-oss-120B,GAIA_dedup,18efa24e637b9423f34180d1f2041d3e,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,neutral
GPT-oss-120B,GAIA_dedup,1dd91d388cb4889e6c1f5ea5ca06bce6,0.2,1.0,0.2,0.5,1.0,0.2,0.6153846153846154,1.0,0.6,0.5153846153846156,0.8153846153846156,0.11538461538461542,0.0,0.39999999999999997,working
GPT-oss-120B,GAIA_dedup,21f0c6c8d76ac61f4388f36ddffe1c38,0.2222222222222222,0.0,0.0,0.36363636363636365,0.0,0.0,0.5,0.0,0.0,0.13636363636363635,0.2777777777777778,0.13636363636363635,0.0,0.0,working
