Weighted F1: 0.2896
Average Location Accuracy: 0.2323
Average Location-Category Joint Accuracy: 0.0794

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                       -0.0678          0.5607 76        
security                              nan             nan 76        
instruction_adherence             -0.0600          0.6064 76        
plan_optimization                 -0.0362          0.7564 76        
overall                           -0.1120          0.3355 76        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.5455     0.3000     0.3871     40        
Tool-related                             0.3194     0.6389     0.4259     36        
Poor Information Retrieval               0.0714     0.0476     0.0571     21        
Tool Output Misinterpretation            0.0189     0.0769     0.0303     13        
Incorrect Problem Identification         0.0952     0.4286     0.1558     14        
Tool Selection Errors                    0.4444     0.3243     0.3750     37        
Formatting Errors                        0.1667     0.1489     0.1573     47        
Instruction Non-compliance               0.5769     0.2885     0.3846     52        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.0000     0.0000     0.0000     9         
Authentication Errors                    0.0000     0.0000     0.0000     5         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.1111     0.2500     0.1538     4         
Resource Exhaustion                      1.0000     0.5000     0.6667     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.1321     0.3333     0.1892     21        
Resource Abuse                           0.0676     0.1724     0.0971     29        
Goal Deviation                           0.7442     0.5161     0.6095     62        
Task Orchestration                       1.0000     0.0286     0.0556     35        
