Weighted F1: 0.3530
Average Location Accuracy: 0.0391
Average Location-Category Joint Accuracy: 0.0031

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.3890          0.0998 19        
security                              nan             nan 19        
instruction_adherence              0.0578          0.8141 19        
plan_optimization                  0.4392          0.0599 19        
overall                            0.2934          0.2228 19        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.3333     0.1429     0.2000     14        
Tool-related                             1.0000     0.2500     0.4000     4         
Poor Information Retrieval               0.5000     0.3636     0.4211     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.4000     0.2222     0.2857     9         
Formatting Errors                        0.8889     0.2222     0.3556     36        
Instruction Non-compliance               0.8000     0.3529     0.4898     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.7000     0.2188     0.3333     32        
Resource Abuse                           0.7143     0.2941     0.4167     17        
Goal Deviation                           0.5000     0.3333     0.4000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
