Weighted F1: 0.2350
Average Location Accuracy: 0.0111
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4721          0.0479 18        
security                              nan             nan 18        
instruction_adherence             -0.0520          0.8377 18        
plan_optimization                  0.3047          0.2189 18        
overall                            0.3060          0.2169 18        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.2500     0.2500     0.2500     4         
Poor Information Retrieval               0.4000     0.1818     0.2500     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.1429     1.0000     0.2500     1         
Incorrect Problem Identification         0.4000     0.2222     0.2857     9         
Formatting Errors                        0.8750     0.1944     0.3182     36        
Instruction Non-compliance               0.6667     0.2353     0.3478     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.5000     0.0625     0.1111     32        
Resource Abuse                           0.4000     0.2353     0.2963     17        
Goal Deviation                           1.0000     0.3333     0.5000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
