model,split,method,n_traces,frac_over_high,frac_over_med,frac_over_low,frac_neutral,frac_under_low,frac_under_med,frac_under_high
QwenLong-L1-32B,GAIA_dedup,+GI+SI,117,0.017,0.043,0.000,0.154,0.077,0.111,0.598
QwenLong-L1-32B,SWE_Bench_dedup,Baseline,19,0.053,0.053,0.000,0.000,0.105,0.053,0.737
QwenLong-L1-32B,SWE_Bench_dedup,+CG,18,0.056,0.000,0.000,0.000,0.333,0.111,0.500
QwenLong-L1-32B,SWE_Bench_dedup,+GI+SI,30,0.067,0.100,0.000,0.033,0.100,0.067,0.633
Gemini-2.5-Flash,GAIA_dedup,Baseline,117,0.043,0.068,0.051,0.162,0.316,0.205,0.154
Gemini-2.5-Flash,SWE_Bench_dedup,+GI+SI,29,0.069,0.000,0.069,0.138,0.241,0.138,0.345
Gemini-2.5-Pro,GAIA_dedup,Baseline,117,0.034,0.051,0.000,0.162,0.248,0.299,0.205
Gemini-2.5-Pro,GAIA_dedup,+GI+SI,117,0.068,0.111,0.154,0.145,0.171,0.120,0.231
Gemini-2.5-Pro,SWE_Bench_dedup,Baseline,31,0.032,0.097,0.000,0.226,0.290,0.129,0.226
Gemini-2.5-Pro,SWE_Bench_dedup,+GI+SI,31,0.065,0.323,0.226,0.065,0.194,0.097,0.032
Mistral-Small-24B,GAIA_dedup,Baseline,81,0.210,0.136,0.222,0.173,0.173,0.062,0.025
Mistral-Small-24B,GAIA_dedup,+CG,76,0.342,0.368,0.118,0.079,0.066,0.013,0.013
Mistral-Small-24B,GAIA_dedup,+GI+SI,94,0.372,0.202,0.043,0.032,0.021,0.011,0.319
Mistral-Small-24B,SWE_Bench_dedup,Baseline,11,0.182,0.091,0.091,0.000,0.273,0.182,0.182
Mistral-Small-24B,SWE_Bench_dedup,+GI+SI,22,0.045,0.045,0.045,0.000,0.136,0.091,0.636
Gemma-3-27B,GAIA_dedup,Baseline,88,0.136,0.080,0.045,0.227,0.216,0.193,0.102
Gemma-3-27B,GAIA_dedup,+CG,88,0.182,0.102,0.193,0.170,0.261,0.091,0.000
Gemma-3-27B,GAIA_dedup,+GI+SI,117,0.137,0.111,0.103,0.120,0.171,0.068,0.291
Gemma-3-27B,SWE_Bench_dedup,Baseline,19,0.105,0.105,0.158,0.105,0.316,0.158,0.053
Gemma-3-27B,SWE_Bench_dedup,+CG,19,0.105,0.158,0.105,0.105,0.263,0.105,0.158
Gemma-3-27B,SWE_Bench_dedup,+GI+SI,31,0.032,0.065,0.065,0.161,0.097,0.065,0.516
GPT-oss-120B,GAIA_dedup,Baseline,90,0.100,0.089,0.133,0.233,0.233,0.122,0.089
GPT-oss-120B,GAIA_dedup,+CG,90,0.067,0.100,0.067,0.322,0.222,0.111,0.111
GPT-oss-120B,GAIA_dedup,+GI+SI,117,0.154,0.162,0.145,0.120,0.120,0.043,0.256
GPT-oss-120B,SWE_Bench_dedup,Baseline,19,0.105,0.000,0.053,0.211,0.263,0.158,0.211
GPT-oss-120B,SWE_Bench_dedup,+CG,19,0.105,0.053,0.053,0.105,0.263,0.211,0.211
GPT-oss-120B,SWE_Bench_dedup,+GI+SI,31,0.097,0.129,0.065,0.129,0.065,0.032,0.484
GPT-oss-20B,GAIA_dedup,Baseline,73,0.055,0.123,0.164,0.192,0.082,0.151,0.233
GPT-oss-20B,GAIA_dedup,+CG,87,0.034,0.057,0.046,0.195,0.115,0.218,0.333
GPT-oss-20B,GAIA_dedup,+GI+SI,115,0.061,0.096,0.035,0.165,0.157,0.096,0.391
GPT-oss-20B,SWE_Bench_dedup,Baseline,12,0.167,0.000,0.000,0.083,0.167,0.167,0.417
GPT-oss-20B,SWE_Bench_dedup,+CG,18,0.056,0.000,0.000,0.167,0.222,0.056,0.500
GPT-oss-20B,SWE_Bench_dedup,+GI+SI,31,0.032,0.000,0.000,0.065,0.161,0.161,0.581
QwenLong-L1-32B,GAIA_dedup,Baseline,90,0.022,0.011,0.011,0.111,0.078,0.122,0.644
QwenLong-L1-32B,GAIA_dedup,+CG,90,0.022,0.022,0.000,0.100,0.078,0.156,0.622
Gemini-2.5-Flash,GAIA_dedup,+CG,109,0.064,0.083,0.073,0.220,0.312,0.156,0.092
Gemini-2.5-Flash,SWE_Bench_dedup,Baseline,9,0.111,0.000,0.111,0.333,0.222,0.111,0.111
Gemini-2.5-Flash,SWE_Bench_dedup,+CG,22,0.045,0.182,0.182,0.091,0.227,0.091,0.182
Gemini-2.5-Flash,GAIA_dedup,+GI+SI,117,0.094,0.137,0.137,0.197,0.205,0.094,0.137
